,average_valence_number,average_electronegativity,average_atomic_number,Gap,std_dev wt CN_1,HF,mean wt CN_1,Barrier_energy
2,13.75,2.5525,36.25,0.0,0.0,-1.333,0.0,0.8433333333332484
3,6.25,2.7025,22.75,0.0,0.0,-1.709,0.0,0.9133333333332606
4,15.0,2.18,33.0,1.483,0.0,0.005,0.0,0.92533333333328
6,5.5,2.9125,16.0,3.586,0.0,-2.482,0.0,0.073333333333115
7,5.5,2.2675,22.0,1.182,0.0,-1.254,0.0,0.9100000000001576
8,4.0,2.55,6.0,0.0,0.0,-0.007,0.0,0.8863333333334064
9,13.0,2.245,35.5,0.41,0.0,-1.078,0.0,0.5700000000000122
11,15.0,2.05,51.0,0.983,0.0,0.074,3.795497437331826e-05,0.7369999999999663
12,4.75,2.785,10.75,0.898,1.897748718665913e-05,-0.689,1.897748718665913e-05,0.1366666666666181
14,7.0,2.7575000000000003,19.0,0.497,0.4119264653632132,-0.88,0.2890739898962302,0.7000000000004244
15,15.0,2.02,83.0,0.151,0.0413864302528665,0.096,0.3190368073121053,0.3933333333333166
24,5.866666666666666,3.0106666666666664,21.2,2.566,0.3379668665625107,-2.471,0.1387962015114,0.1799999999993815
25,5.866666666666666,3.0506666666666664,21.2,2.345,0.3371324057593189,-2.461,0.1407489267371679,0.1900000000005093
26,5.866666666666666,3.037333333333333,25.466666666666665,2.748,0.3361274407360475,-2.539,0.1433909863816894,0.1899999999995998
28,8.5,2.536666666666666,25.5,0.177,1.4144983797167018e-05,-0.695,3.162914531109855e-05,0.6466666666665333
29,11.5,2.3683333333333336,29.0,0.274,0.0012270485837963,-0.244,0.0008862134113568,0.7666666666670304
33,13.0,2.17375,33.25,0.0,0.0025838819224406,-0.18,0.0024619496434613,0.9733333333335092
35,7.75,2.3725,40.5,1.429,0.326647241327667,-0.581,0.1389132521639115,0.5
36,12.75,2.3575,49.5,1.129,0.3257270985718009,-0.452,0.1490690001072614,0.5933333333332484
37,12.75,2.1325,58.5,0.435,0.3329511535782999,-0.21,0.1905082040683057,0.7100000000000364
38,3.0,2.515,6.0,4.51,0.3581657951309359,-1.58,0.5096155851249323,0.0699999999998605
39,3.0,2.1925,9.0,3.591,0.4156740467411129,-0.646,0.6168184788169646,0.1200000000003456
40,6.5,2.3975,38.25,1.541,0.3268682491701097,-0.628,0.1537899545318576,0.4199999999994664
41,11.5,2.3825,47.25,1.194,0.3291496334784293,-0.497,0.1642067432614918,0.75
43,6.5,2.5,37.25,1.621,0.3479171312898922,-0.857,0.1915489339233845,0.7000000000007276
44,11.5,2.485,46.25,1.266,0.3547870467020942,-0.727,0.1996902117063643,0.7700000000004366
45,11.5,2.26,55.25,0.498,0.3725684952665309,-0.481,0.2278880221528106,0.5133333333333212
46,7.75,2.335,42.75,1.034,0.3294513857792187,-0.525,0.1283922901241198,0.8299999999999272
47,12.75,2.32,51.75,0.904,0.3288587300130065,-0.396,0.1299661094713659,0.829999999999624
48,12.75,2.095,60.75,0.375,0.3228538914276337,-0.157,0.170282874325281,0.4266666666665817
49,3.0,2.50875,8.25,4.396,0.3574815691909296,-1.571,0.5051759305700534,0.0733333333334182
50,3.0,2.18625,11.25,3.721,0.4074945993885188,-0.673,0.617295254017026,0.086666666666891
52,3.7777777777777777,2.333333333333333,10.666666666666666,0.0,0.4060653975043523,-1.295,0.3276630582834527,0.0533333333331332
53,6.833333333333333,2.716666666666667,23.5,0.0,0.0163805804748939,-1.901,0.0115679754559262,0.7666666666664241
56,7.833333333333333,2.316666666666667,22.5,2.136,0.0270187591966816,-1.935,0.0121355384513214,0.7366666666665272
57,10.166666666666666,2.521666666666667,35.333333333333336,0.0,0.0319955025840619,-0.257,0.0143529058770112,0.8833333333332121
59,10.0,2.398333333333333,39.66666666666666,0.0,0.3414022117587024,-0.916,0.1800753703501707,0.9133333333334122
65,10.75,2.58,40.083333333333336,0.0,0.0043054648165023,-0.374,0.0022098419838311,0.7766666666663392
70,7.5,2.51,30.166666666666668,0.037,0.0001041233273056,-0.829,9.26885981067223e-05,0.7366666666666788
73,5.875,2.73125,11.375,0.182,0.4031958662572454,-0.869,0.3504701176150198,0.0933333333332484
75,3.7777777777777777,2.0044444444444443,10.0,2.254,0.3022992896798537,-0.627,0.1491257410459657,0.0799999999999272
76,3.7777777777777777,1.9877777777777776,12.666666666666666,2.353,0.3044411944447899,-0.56,0.1446576804503705,0.0700000000001637
79,13.1,2.263,32.9,0.0,0.0097942063766744,-0.397,0.0140088497301625,0.670000000000376
80,12.5,2.211,35.9,0.0,0.0188565333107295,-0.824,0.0176066249961274,0.7066666666669335
82,6.5,2.1990000000000003,34.7,0.0,0.0261239467514513,-0.908,0.0223744630869838,0.9866666666666788
83,12.5,2.181,45.5,0.0,0.0151659273782729,-0.761,0.0153072999979378,0.6333333333338184
85,7.538461538461538,3.107692307692308,14.461538461538462,0.907,0.3340436454330275,-1.684,0.2758513630031184,0.8599999999996726
86,8.2,2.938,14.8,3.828,0.2643402859280622,-1.18,0.4378349254684708,0.156666666665842
89,8.2,2.899,20.2,2.489,0.2811521714252976,-1.254,0.3453257326093305,0.1666666666666666
91,5.5,2.218,23.3,0.0,0.0139762177541874,-1.009,0.0125686721059052,0.939999999999903
92,11.5,2.2,34.1,0.0,0.0069197791362693,-0.86,0.0083305374271875,0.6966666666667152
93,11.5,1.93,44.9,0.0,0.0059017949555493,-0.501,0.0066859889982966,0.7399999999997817
94,5.5,2.188,32.9,0.0,0.0092034123291404,-0.967,0.0102736391207279,1.0
95,5.0,2.128571428571429,37.57142857142857,0.0,0.0,-0.877,0.0,0.3866666666666181
96,11.5,2.1699999999999995,43.7,0.0,0.0063233997299751,-0.797,0.0053940594414783,0.6300000000004123
98,12.5,2.206,37.7,0.0,0.0424518470061194,-0.758,0.034672957938876,0.8833333333338184
99,12.5,1.9360000000000004,48.5,0.0,0.0199486155235505,-0.458,0.0214728985092156,0.9266666666659754
100,4.571428571428571,2.0557142857142856,23.428571428571427,0.0,0.0,-1.149,0.0,0.5233333333333879
101,12.5,1.906,58.1,0.0,0.0167459874404962,-0.354,0.018726911886165,0.8533333333331635
105,12.727272727272728,2.441818181818182,45.63636363636363,0.239,0.1903493631037313,-0.742,0.1165645796165661,0.9900000000000848
108,12.5,2.4266666666666667,43.5,0.0,7.199498992938281e-05,-0.209,3.918593507392562e-05,0.8899999999998727
111,6.363636363636363,3.203636363636364,18.363636363636363,0.964,0.0,-2.721,0.0,0.0799999999999272
115,6.363636363636363,3.1763636363636363,27.09090909090909,0.96,0.0,-2.6,0.0,0.1033333333334667
117,13.636363636363637,2.5518181818181818,36.54545454545455,0.76,0.0,-1.017,0.0,0.9533333333338304
119,7.272727272727272,3.200909090909091,20.0,0.893,0.0,-2.683,0.0,0.0333333333337577
120,13.636363636363637,2.3609090909090917,48.0,0.536,0.019179489533877,-0.621,0.0117449907212622,0.806666666666691
121,13.636363636363637,2.5245454545454544,45.27272727272727,0.79,0.0,-0.932,0.0,0.9533333333335272
123,7.272727272727272,3.173636363636364,28.727272727272727,0.895,0.0,-2.563,0.0,0.0299999999997453
124,13.636363636363637,2.333636363636364,56.72727272727273,0.665,0.017481377581673,-0.524,0.0107047759800967,0.8000000000001819
126,7.272727272727272,2.638181818181818,26.727272727272727,0.772,0.0,-1.269,0.0,0.7666666666667273
127,7.272727272727272,3.16,21.63636363636364,0.812,0.0,-2.615,0.0,0.0233333333338426
129,13.636363636363637,2.483636363636364,46.90909090909091,0.741,0.0,-0.867,0.0,0.9566666666672368
130,7.272727272727272,2.610909090909091,35.45454545454545,0.802,0.0,-1.193,0.0,0.9933333333334908
131,7.272727272727272,3.132727272727273,30.363636363636363,0.86,0.0,-2.501,0.0,0.0233333333329331
132,13.636363636363637,2.2927272727272725,58.36363636363637,0.643,0.0,-0.465,0.0,0.930000000000291
134,6.0,2.9716666666666662,17.833333333333332,0.626,0.0296661304546749,-1.907,0.0297286782983625,0.1766666666668849
140,12.666666666666666,2.428333333333333,43.16666666666666,0.882,0.1260114359142721,-0.557,0.1260045678245885,0.933333333333394
144,6.833333333333333,2.2583333333333333,19.5,0.0,1.7892146506089982e-05,-0.482,1.265165812443942e-05,0.8399999999998423
155,12.666666666666666,1.995,44.16666666666666,0.467,0.0005910913661374,-0.149,0.00059253692496,0.7533333333337092
157,5.75,2.3075,19.916666666666668,0.0,0.0001558392680655,-0.87,7.700828397075385e-05,0.8900000000001759
159,12.416666666666666,2.2875,31.916666666666668,0.0,5.0599038329586766e-05,-0.684,3.577892312436883e-05,0.6033333333328604
160,12.416666666666666,1.9875,43.91666666666666,0.0,1.4144983797167016e-05,-0.285,6.32582906221971e-06,0.7233333333339639
161,6.0,3.063333333333333,27.33333333333333,1.185,0.0021548770028178,-2.018,0.0022116492721154,0.4666666666668486
167,12.083333333333334,2.165833333333333,36.083333333333336,0.0,0.0003574173999432,-1.212,0.0002790146837747,0.6033333333334667
168,14.0,2.4091666666666662,36.5,0.382,0.0657018025230491,-0.266,0.0660552659432344,0.7466666666665939
169,4.857142857142857,2.525714285714286,13.714285714285714,0.0,0.0,-1.86,0.0,0.3000000000001819
170,4.428571428571429,2.3885714285714283,21.0,0.0,0.0,-1.716,0.0,0.0699999999997089
171,4.857142857142857,2.435714285714286,21.428571428571427,0.0,0.0,-1.964,0.0,0.0100000000002182
172,7.333333333333333,3.046666666666667,28.666666666666668,1.064,0.0006698071841381,-0.524,0.0007186212253144,0.1233333333339032
176,3.142857142857143,2.017142857142857,11.428571428571429,0.0,0.0,-0.635,0.0,0.5300000000002001
177,13.5,2.3783333333333334,36.0,0.239,0.0794415190905309,-0.462,0.0602811565815965,0.7500000000006063
179,3.142857142857143,1.9271428571428573,19.142857142857142,0.0,0.0,-0.683,0.0,0.0899999999999181
181,5.916666666666667,2.9691666666666663,17.75,0.0,0.0298579943107528,-2.027,0.0298563573100654,0.1433333333337335
184,5.0,2.397142857142857,21.571428571428573,0.0,0.0,-1.371,0.0,0.1033333333331635
185,5.916666666666667,3.019166666666667,25.75,0.0,0.0376168486798686,-2.07,0.0378014840045868,0.1433333333334303
186,5.0,2.3542857142857145,35.285714285714285,0.0,0.0,-1.397,0.0,0.1133333333335334
187,4.571428571428571,2.371428571428571,13.428571428571429,0.0,0.0,-1.609,0.0,0.1299999999996544
188,5.0,2.41,13.857142857142858,0.0,0.0,-1.107,0.0,0.246666666666897
193,6.0,3.03,22.0,0.981,7.631119055273405e-05,-1.999,5.074956757389034e-05,0.9800000000003214
195,5.0,2.151428571428572,23.857142857142858,0.0,0.0,-0.805,0.0,0.6766666666665818
196,5.0,2.1085714285714285,37.57142857142857,0.0,0.0,-0.817,0.0,0.7133333333332909
198,5.0,2.164285714285714,16.142857142857142,0.0,0.0,-0.621,0.0,0.8033333333332848
199,5.75,2.3241666666666667,22.58333333333333,0.0,9.858031803511774e-05,-0.862,9.858031803511775e-05,0.933333333333394
200,12.416666666666666,2.3041666666666667,34.583333333333336,0.0,0.0001430727218744,-0.658,0.0001011676918402,0.6299999999998059
201,12.416666666666666,2.004166666666667,46.583333333333336,0.0,0.0001392477836836,-0.237,0.0001074935209024,0.7366666666666788
202,8.571428571428571,2.9514285714285715,17.428571428571427,3.006,0.4363893084307404,-1.329,0.31247432362016,0.4433333333336122
208,12.0,1.8958333333333337,43.5,0.08,0.0017470076662516,-0.635,0.0017729948706579,0.7566666666668121
209,6.0,2.8428571428571425,14.857142857142858,0.412,0.0236118829943869,-1.89,0.0374060596785823,0.4999999999998484
211,4.714285714285714,2.5885714285714285,13.571428571428571,0.0,0.0,-2.695,0.0,0.6100000000001273
213,12.25,2.5987500000000003,30.5,2.043,0.1301291461580946,-1.591,0.1577285527533336,0.8400000000001455
214,6.0,3.2122222222222216,17.11111111111111,0.502,0.2919075634187724,-1.952,0.3381588529413897,0.2466666666672002
215,3.4285714285714284,2.157142857142857,11.714285714285714,0.0,0.0,-1.084,0.0,0.5099999999999909
216,6.111111111111111,2.807777777777778,25.666666666666668,0.475,0.2567491435164477,-0.914,0.4395413781246502,0.2100000000000363
217,6.111111111111111,3.263333333333333,21.22222222222222,0.929,0.3009487445902796,-1.975,0.4149318780149432,0.2566666666668122
218,6.111111111111111,2.807777777777778,22.11111111111111,0.51,0.2598324161465065,-0.894,0.4384491110101838,0.2333333333335758
219,6.111111111111111,3.263333333333333,17.666666666666668,0.981,0.3085083587597274,-1.925,0.4206441542467598,0.2000000000007276
222,6.111111111111111,3.1677777777777774,18.55555555555556,0.936,0.2943706400492888,-1.751,0.4395329774734191,0.7566666666668121
223,6.111111111111111,3.2666666666666666,17.22222222222222,0.858,0.28403338498559,-1.964,0.3325168950553376,0.2566666666668122
224,6.111111111111111,2.811111111111112,18.11111111111111,0.372,0.2491991639135518,-0.864,0.3964254139727549,0.1499999999999393
225,6.111111111111111,3.2666666666666666,13.666666666666666,0.902,0.29149833481451,-1.914,0.3456663994438678,0.1999999999989086
229,7.2,3.624,22.4,0.687,0.4896305522388511,-1.721,0.4003276063993383,0.569999999999709
230,6.111111111111111,3.171111111111111,14.555555555555555,0.881,0.2786672157423147,-1.736,0.3582813078279965,0.7399999999991754
231,4.857142857142857,2.511428571428571,13.714285714285714,0.0,0.0,-2.232,0.0,0.3766666666665514
232,5.285714285714286,2.55,14.142857142857142,0.0,0.0,-1.509,0.0,0.3466666666669577
234,6.111111111111111,2.8233333333333333,20.77777777777778,0.438,0.2941935889952685,-0.823,0.2049612360481112,0.2266666666661573
235,4.857142857142857,2.4214285714285717,21.428571428571427,0.401,0.0,-2.427,0.0,0.0533333333334364
238,7.2,3.624,16.0,0.628,0.489617853143005,-1.855,0.4003431681627709,0.0499999999998787
239,6.111111111111111,2.727777777777778,18.11111111111111,0.429,0.3792108146375741,-0.641,0.3099128406970451,0.9633333333331392
240,6.111111111111111,2.811111111111112,23.666666666666668,0.411,0.2532280626601915,-0.896,0.4218814125354744,0.1933333333336122
242,6.6,3.51,11.8,0.597,0.4898322149121944,-2.928,0.4000805161117034,0.7300000000004729
243,6.111111111111111,2.811111111111112,20.11111111111111,0.433,0.2568590959648526,-0.876,0.4227322311238787,0.173333333333782
246,6.111111111111111,3.2666666666666666,15.666666666666666,0.944,0.300673129750368,-1.916,0.3873122413573567,0.2000000000007276
251,6.111111111111111,3.171111111111111,16.555555555555557,0.92,0.2862656753625666,-1.738,0.4059812391051469,0.7499999999987873
254,6.1,2.404,25.3,0.0,0.0004375458103542,-1.024,0.0004195585872109,0.9833333333326664
257,14.0,2.3466666666666667,35.0,0.304,0.1979494132843827,-0.727,0.1399713724652855,0.9199999999997696
266,14.909090909090908,2.3718181818181816,32.90909090909091,0.96,0.4147370422440032,-0.178,0.2684863752925011,0.9700000000002548
268,14.909090909090908,2.3245454545454547,39.45454545454545,0.911,0.4156216757617687,-0.189,0.2726280479682437,0.9766666666670668
272,6.0,2.443636363636364,16.727272727272727,0.0,0.0,-1.968,0.0,0.706666666666024
276,16.0,2.563333333333333,34.0,1.497,0.0,-0.134,0.0,0.5966666666667303
