,average_valence_number,std_dev wt CN_1,average_electronegativity,average_atomic_number,thickness,mean q2 CN_12,uc_area,Barrier_energy
4,15.0,0.0,2.18,33.0,1.396,0.0,11.271,0.8049999999999878
6,5.5,0.0,2.9125,16.0,4.713,0.0,13.329,0.2666666666667273
7,5.5,0.0,2.2675,22.0,5.906,0.0,18.927,0.6800000000001395
8,4.0,0.0,2.55,6.0,0.0,0.0,5.272,0.4883333333333439
11,15.0,0.0,2.05,51.0,1.635,0.0,14.646,0.966000000000046
12,4.75,1.897748718665913e-05,2.785,10.75,4.306,0.0,49.291,0.5100000000002183
13,15.0,0.2719345934148942,2.18,33.0,2.399,0.0,17.592,0.5766666666665969
24,5.866666666666666,0.3379668665625107,3.0106666666666664,21.2,9.164,0.0,28.209,0.6500000000005457
25,5.866666666666666,0.3371324057593189,3.0506666666666664,21.2,9.194,0.0,28.257,0.6599999999998545
26,5.866666666666666,0.3361274407360475,3.037333333333333,25.466666666666665,9.205,0.0,28.411,0.6633333333332606
33,13.0,0.0025838819224406,2.17375,33.25,2.897,0.0,30.478,0.7900000000002668
38,3.0,0.3581657951309359,2.515,6.0,6.246,0.0003185740616564,22.459,0.0166666666665757
39,3.0,0.4156740467411129,2.1925,9.0,7.343,0.0,34.068,0.0599999999999454
43,6.5,0.3479171312898922,2.5,37.25,7.127,0.0,41.614,0.2399999999997817
44,11.5,0.3547870467020942,2.485,46.25,7.172,0.0,44.758,0.2599999999993088
45,11.5,0.3725684952665309,2.26,55.25,7.218,0.0,50.111,0.2799999999997453
49,3.0,0.3574815691909296,2.50875,8.25,6.563,4.498891937418061e-05,25.068,0.0266666666666424
50,3.0,0.4074945993885188,2.18625,11.25,7.616,0.0,37.144,0.0499999999997271
52,3.7777777777777777,0.4060653975043523,2.333333333333333,10.666666666666666,9.22,0.0003745550595993,8.251,0.0100000000002182
63,11.5,0.3550879626353141,2.9166666666666665,38.16666666666666,6.06,0.0,34.488,0.8833333333332121
73,5.875,0.4031958662572454,2.73125,11.375,3.928,0.0,31.346,0.0266666666666424
75,3.7777777777777777,0.3022992896798537,2.0044444444444443,10.0,7.359,0.0,52.776,0.0500000000001819
76,3.7777777777777777,0.3044411944447899,1.9877777777777776,12.666666666666666,8.625,0.0,62.229,0.0399999999999636
80,12.5,0.0188565333107295,2.211,35.9,3.411,0.0007617559344229,69.212,0.893333333332824
82,6.5,0.0261239467514513,2.1990000000000003,34.7,3.198,0.0006997608928868,65.149,0.2699999999998302
85,7.538461538461538,0.3340436454330275,3.107692307692308,14.461538461538462,4.602,0.0,36.588,0.3100000000004002
86,8.2,0.2643402859280622,2.938,14.8,2.878,0.0,59.923,0.3099999999994907
89,8.2,0.2811521714252976,2.899,20.2,3.564,0.0,63.848,0.3100000000013097
91,5.5,0.0139762177541874,2.218,23.3,3.191,0.0007445450869961,63.577,0.2200000000002546
92,11.5,0.0069197791362693,2.2,34.1,3.437,0.0008382426765267,67.645,0.9400000000005092
93,11.5,0.0059017949555493,1.93,44.9,3.824,0.0011344314156342,74.159,0.7266666666667637
94,5.5,0.0092034123291404,2.188,32.9,3.226,0.0007831544772391,63.435,0.2600000000002183
110,6.363636363636363,0.0,2.6818181818181817,23.454545454545453,3.324,0.0,40.862,0.2066666666669334
111,6.363636363636363,0.0,3.203636363636364,18.363636363636363,3.079,0.0,32.771,0.1799999999993815
112,12.727272727272728,0.0533092847353298,2.363636363636364,46.36363636363637,3.573,0.0,50.644,0.680000000000291
113,12.727272727272728,0.0008837404296712,2.527272727272727,43.63636363636363,3.472,0.0,44.376,0.2666666666670305
114,6.363636363636363,0.0,2.6545454545454548,32.18181818181818,3.354,0.0,40.685,0.2633333333327148
115,6.363636363636363,0.0,3.1763636363636363,27.09090909090909,3.106,0.0,32.968,0.1799999999993815
116,12.727272727272728,0.0515439199927638,2.3363636363636364,55.09090909090909,3.611,0.0,50.31,0.5700000000003153
119,7.272727272727272,0.0,3.200909090909091,20.0,3.248,0.0,33.078,0.180000000000291
123,7.272727272727272,0.0,3.173636363636364,28.727272727272727,3.28,0.0,33.258,0.180000000000291
127,7.272727272727272,0.0,3.16,21.63636363636364,3.472,0.0,33.673,0.1899999999995998
131,7.272727272727272,0.0,3.132727272727273,30.363636363636363,3.505,0.0,33.85,0.1799999999993815
134,6.0,0.0296661304546749,2.9716666666666662,17.833333333333332,2.449,0.0033588794650039,26.784,0.1599999999998544
135,6.0,0.0725707199364992,2.398333333333333,23.166666666666668,3.158,0.0064558841109012,34.464,0.9099999999998544
136,4.714285714285714,0.0,1.9628571428571429,37.285714285714285,8.247,0.0001949548369298,9.573,0.2500000000000758
144,6.833333333333333,1.7892146506089982e-05,2.2583333333333333,19.5,2.716,0.0001142283051028,39.367,0.6599999999998545
151,5.833333333333333,0.0224057046776768,2.249166666666667,23.0,3.19,0.003933092068637,37.344,0.3433333333341579
153,6.0,0.0002749225538227,2.315,20.166666666666668,3.021,0.0062751183080545,32.974,0.2933333333333697
157,5.75,0.0001558392680655,2.3075,19.916666666666668,3.03,0.0056349393803978,35.098,0.1199999999997392
161,6.0,0.0021548770028178,3.063333333333333,27.33333333333333,2.47,0.0035429307263023,27.786,0.1599999999998544
163,6.0,0.0305580914200312,2.49,32.666666666666664,3.139,0.0072594427177033,35.184,0.8099999999999454
169,4.857142857142857,0.0,2.525714285714286,13.714285714285714,7.246,0.0006425462331363,8.16,0.2599999999997635
170,4.428571428571429,0.0,2.3885714285714283,21.0,8.26,0.0013684878006526,10.777,0.2300000000000182
171,4.857142857142857,0.0,2.435714285714286,21.428571428571427,7.756,0.0006622024954014,9.55,0.2100000000000363
172,7.333333333333333,0.0006698071841381,3.046666666666667,28.666666666666668,1.905,0.0,34.084,0.1900000000005093
176,3.142857142857143,0.0,2.017142857142857,11.428571428571429,6.75,0.0006923045433739,8.135,0.2699999999999818
178,5.333333333333333,0.0289798508348114,2.1808333333333336,22.5,3.234,0.0029641909781057,42.891,0.8099999999999454
179,3.142857142857143,0.0,1.9271428571428573,19.142857142857142,7.269,0.0006829242981974,9.56,0.2000000000000454
181,5.916666666666667,0.0298579943107528,2.9691666666666663,17.75,2.418,0.0033102847256248,27.375,0.1700000000000727
182,5.916666666666667,0.0671364302780319,2.395833333333333,23.08333333333333,3.12,0.0060687516392672,35.379,0.4200000000000727
184,5.0,0.0,2.397142857142857,21.571428571428573,7.213,0.0012796201258304,8.531,0.2100000000000363
185,5.916666666666667,0.0376168486798686,3.019166666666667,25.75,2.431,0.0035294866756968,27.627,0.1599999999998544
186,5.0,0.0,2.3542857142857145,35.285714285714285,7.315,0.0012974003508974,8.487,0.1900000000000545
187,4.571428571428571,0.0,2.371428571428571,13.428571428571429,7.012,0.0012902520124191,7.993,0.3800000000001091
188,5.0,0.0,2.41,13.857142857142858,6.799,0.0012486497015395,7.403,0.1899999999995998
189,5.916666666666667,0.1143754279513738,2.4458333333333333,31.08333333333333,3.129,0.006991739667035,35.441,0.4133333333335637
190,6.0,0.0003034305303033,2.3316666666666666,22.83333333333333,3.023,0.0072740309012294,33.052,0.3333333333339396
193,6.0,7.631119055273405e-05,3.03,22.0,2.459,0.0034649482813841,27.654,0.5199999999996786
195,5.0,0.0,2.151428571428572,23.857142857142858,8.203,0.00023250216691,9.145,0.4266666666664302
196,5.0,0.0,2.1085714285714285,37.57142857142857,8.259,0.0004562173537641,9.085,0.4866666666668304
198,5.0,0.0,2.164285714285714,16.142857142857142,7.619,0.0002763416178662,8.087,0.5500000000000304
199,5.75,9.858031803511774e-05,2.3241666666666667,22.58333333333333,3.038,0.006461727223635,35.17,0.1333333333335152
202,8.571428571428571,0.4363893084307404,2.9514285714285715,17.428571428571427,5.454,0.0,18.817,0.5666666666667576
