,average_valence_number,average_electronegativity,average_atomic_number,mean wt CN_1,std_dev L-shaped CN_2,HF,std_dev wt CN_1,Barrier_energy
0,12.75,2.2175,35.25,0.0,0.2686567521559718,-1.217,0.0,0.9400000000000546
2,13.75,2.5525,36.25,0.0,0.430896773611767,-1.333,0.0,0.8400000000001455
3,6.25,2.7025,22.75,0.0,0.4329026551186359,-1.709,0.0,0.8299999999999272
4,15.0,2.18,33.0,0.0,0.0,0.005,0.0,0.2723333333333737
6,5.5,2.9125,16.0,0.0,0.3554944538280874,-2.482,0.0,0.0966666666666545
7,5.5,2.2675,22.0,0.0,0.4034505527288421,-1.254,0.0,0.3899999999998726
8,4.0,2.55,6.0,0.0,0.0,-0.007,0.0,0.2259999999999612
9,13.0,2.245,35.5,0.0,0.3918714161700101,-1.078,0.0,0.7333333333334243
11,15.0,2.05,51.0,3.795497437331826e-05,0.0,0.074,0.0,0.6686666666666573
12,4.75,2.785,10.75,1.897748718665913e-05,0.0522676287507159,-0.689,1.897748718665913e-05,0.2899999999999636
13,15.0,2.18,33.0,0.7280654065851058,0.0,0.042,0.2719345934148942,0.5299999999999727
15,15.0,2.02,83.0,0.3190368073121053,0.0004925345686929,0.096,0.0413864302528665,0.9600000000000364
16,5.75,2.335,22.25,0.0,0.3605909102402411,-0.823,0.0,0.75
20,5.75,2.31,30.25,0.0,0.3614664655591137,-0.844,0.0,0.7699999999995271
24,5.866666666666666,3.0106666666666664,21.2,0.1387962015114,8.55767083807202e-06,-2.471,0.3379668665625107,0.2299999999995634
25,5.866666666666666,3.0506666666666664,21.2,0.1407489267371679,1.2068487578081961e-08,-2.461,0.3371324057593189,0.2400000000006912
26,5.866666666666666,3.037333333333333,25.466666666666665,0.1433909863816894,1.2505576960179208e-08,-2.539,0.3361274407360475,0.25
28,8.5,2.536666666666666,25.5,3.162914531109855e-05,0.4322505830489864,-0.695,1.4144983797167018e-05,0.9700000000002548
33,13.0,2.17375,33.25,0.0024619496434613,0.000108977043836,-0.18,0.0025838819224406,0.6633333333332606
35,7.75,2.3725,40.5,0.1389132521639115,0.0020662377298931,-0.581,0.326647241327667,0.949999999999818
